Company,CVR,Country,Street,gPlaces (needs domain clean up),gSearch,rapid
CURA CLOTHING I/S,41975857,DK,C/O ELISABETH GREVLUND SÃ˜NDERBRO 21 ST. TH.,,curaclothing.dk,
NJORD8 APS,41977922,DK,STJERNEBORG ALLE 3 ST.,,njord8.dk,
CANNARI BIRGER CHRISTENSEN APS,41980516,DK,KRISTEN BERNIKOWS GADE 6,,,
RETAIL VIKING APS,41990139,DK,TÃ…RNHUSSTRÃ†DE 33 1. TV.,,,
BETTEBIZNESS GLOW GOOD APS,41997133,DK,GAMMEL KONGEVEJ 3 B 4. TH.,,,
NUUROO A/S,42000442,DK,HESSVEJ 6,,nuuroo.dk,
TBJ GROUP APS,42000930,DK,RUDOLFGÃ…RDSVEJ 6 A,,,
JUULCPH APS,42004227,DK,JUELLINGEVEJ 16 SÃ˜NDERBY,,,
THE SOLE SITE APS,42011894,DK,C/O MADS HOLM CERESBYEN 37 2. 4.,,,
A.C.T. SOCIAL APS,42016039,DK,C/O CARSTEN SÃ˜NDERGAARD JENSEN Ã˜STERBROGADE 33 4. TH.,,actsocial.dk,
CROZZ COMPANY APS,42021709,DK,C/O HELEN MARIA ENGSTRÃ˜M RÃ†VEHÃ˜JPARKEN 65,,,
ORGANSK COPENHAGEN APS,42027146,DK,EJBY INDUSTRIVEJ 26,,,
BARFODSVERDENEN APS,42040959,DK,TJÃ˜RNEVÃ†NGET 4,,,
PRINTTEX SCANDINAVIA APS,42044342,DK,C/O HELSINGÃ˜R ERHVERVSPARK H P CHRISTENSENS VEJ 1,,printtexscan.dk,
SASSYLAB.DK APS,42053910,DK,VASEKÃ†R 8,,sassylab.dk,
SNEAKER HEAVEN I/S,42055115,DK,C/O VENDELBO LANDLYST 2 A,,,
COTTON COMFORT TEXTILE CONSULTANCY FZE,37016616,DK,C/O APLI DANMARK A/S FASTRUPDALEN 2,,,
NEIRO FASHION APS,42060704,DK,C/O ROLIGHEDSVEJ 16 6100 HADERSLEV FYNSVEJ 77 1. TV.,,neirofashion.dk,
COFFEE BEANIES APS,42064750,DK,C/O AIMÃ‰E & MORTEN KOFOED HERKULES ALLE 1,,coffeebeanies.dk,
SOMETHING NEW APS,42068055,DK,Ã˜RESTADS BOULEVARD 57 A 4. 403.,,,
ANERONE APS,42073490,DK,NÃ†RUM VÃ†NGE 44 2. TV.,,,
CHILDHOOD STUDIOS APS,42079936,DK,OXFORD HAVE 197,,,
LUKSUSHYLDEN APS,42079944,DK,DALBYVEJ 90 ST DALBY,,,
STUFF YOU LOVE APS,42094528,DK,C/O SCANDINAVIAN TRADE BUILDING GYDEVANG 39,,stuffyoulove.dk,
PLEASE STAY APS,42095257,DK,C/O GITTE BLICHER ENGBERG BÃ˜GEPARKEN 12,,pleasestay.dk,
VINTAGE LUXURIES APS,42102083,DK,C/O KONTOR I BYEN APS FALKONER ALLE 1 3.,http://vintageluxuries.com/,vintageluxuries.com,
SKOVELEFANTEN APS,42111007,DK,ANTONIO COSTAS VEJ 15 SNOGHÃ˜J,,skovelefanten.dk,
BYDUOBRANDS APS,42117048,DK,C/O JIMMY LUDVIGSEN Ã†BLESTIEN 4 1. TH.,,,
MINDYOUSOLUTIONS APS,42117684,DK,JERNBANEGADE 7 E 1.,,,
POND CPH APS,42120715,DK,RUDOLPH BERGHS GADE 39 2.,,,
MUSTANG SPORTSWEAR APS,42121568,DK,BAKKEGÃ…RDSVEJ 211,,mustang-sportswear.com,
TAKEOFFCPH APS,42125407,DK,VINGÃ…RDSTRÃ†DE 20 ST. 1.,,,
WE LOVE GAMES APS,42130168,DK,HORSENSVEJ 72 A ST.,,,
MOTHERNATURE APS,42134430,DK,LEEN C 2 3. 4. HÃ˜JE TAASTRUP,,,
FRK. KJOLE APS,42137979,DK,DUEVEJ 14,,frkkjole.dk,
LOOKS JEWELRY APS,42139106,DK,FREDERIKSSUNDSVEJ 6,,looksjewelry.dk,
SWEATER HOUSE.DK APS,42147109,DK,HOLMEVEJ 22 ANNISSE,,sweaterhouse.dk,
MSS TRADING APS,42149179,DK,C/O MICHAEL SELCHAU SANGGAARD STRANDGADE 44 C 1. TV.,,,
KICKSZONE APS,42154024,DK,C/O SNEZANA MAKSIMOVIC LINDEPARKEN 18 2. TH.,,,
BY Ã˜RBÃ†K DESIGN APS,42156329,DK,GRÃ†NSEVEJ 1 B,https://kkdesigndenmark.dk/,,
ID2YOU APS,42161926,DK,C/O HELLE BREDKJÃ†R POULSGADE 41,,id2you.dk,
FORKÃ†LELSE BY DORTHE KILDAL APS,42164410,DK,BJERT STRANDVEJ 6,,,
444 STUDIOS APS,42164690,DK,LANGBALLEVEJ 142,,444studios.com,
CA RETAIL VEJLE APS,42164836,DK,SKOVVANG 8,,,
DILLER INC. APS,42179612,DK,DRONNINGEENGEN 29 TRÃ˜RÃ˜D,,,
MG DIGITAL APS,42179930,DK,C/O MORTEN GRAVERSEN GAMMEL KONGEVEJ 11,,humandogbed.dk,
UNFOLD COPENHAGEN APS,42183865,DK,BREDGADE 35 B 1.,,unfoldcopenhagen.com,
DEBONAIR KBH APS,42194492,DK,LANDSKRONAGADE 11 1. TH.,,,
HERSCHEL SUPPLY COMPANY LTD,37017531,DK,C/O QVALIA A/S HERSTEDÃ˜STERVEJ 27 A,,,
TEXTILES AND MORE APS,42205508,DK,LINDHOLMVEJ 18 B,,,
JUSTHOODIES APS,42210110,DK,ESBJERGPARKEN 53,,,
SHINEBYHOFFMANN APS,42211087,DK,HAVRETOFTEN 10 FELSTED,,shinebyhoffmann.dk,
MALARNI APS,42228478,DK,TINGSKOVVEJ 24,,,
SJÃ–LIN KÃ˜BENHAVN APS,42233919,DK,NYGÃ…RDSVEJ 57 3. TH.,,,
PADEL DIVISION APS,42243612,DK,C/O KUNO YSTRÃ˜M CHRISTIANSHOLMS PARALLELVEJ 4,https://www.padeldanmark.dk/herlev/,,
MYBELLY APS,42243841,DK,DYREHAVEGÃ…RDSVEJ 20,,,
STRUCK 2021 APS,42251526,DK,SKOLEGADE 25,,,
VIGS APS,42252468,DK,STJERNEPLADSEN 5,,,
LUSTFUL APS,42253863,DK,GAMMEL STRANDVEJ 197,,,
HUGGIEBEAR APS,42254835,DK,C/O MEGAN LÃ†RKE BEIERHOLM BLOMSTERENGEN 32 AALE,,huggiebear.dk,
CHEEME APS,42261262,DK,BYHÃ˜JEN 10 1. TV.,,cheeme.dk,
FABREX PRODUKTION APS,42276065,DK,BAGSVÃ†RDVEJ 94,,,
CYYCLE APS,42283991,DK,SUNDVÃ†NGET 34,,cyycle.dk,
EVHI APS,42287865,DK,FREDERICIAGADE 25,,,
TUTTELU APS,42288098,DK,C/O ATT INKUBATOREN 4. SAL NANSENSGADE 19,,enhjorning.bot,
FRIVANG HOLDING APS,42297127,DK,BONDESHÃ˜JVEJ 1 VITTEN,,,
SPECIALIZED EUROPE GMBH,37018287,DK,C/O QVALIA A/S HERSTEDÃ˜STERVEJ 27 A 1.,,,
FENNECFIT APS,42300721,DK,THORSGADE 81 3. TH.,,fennecfit.com,
GRIT ORIGINALS APS,42307424,DK,FOLMER BENDTSENS PLADS 4 6. TH.,http://thegrit.dk/,,
SYNNEJYSK INVEST APS,42321249,DK,AGERTOFTEN 6 JEJSING,,copenhagensmykker.dk,
NTRY WEBSHOP APS,42327166,DK,STEJLBJERGVEJ 29,,vafo.dk,
NW SAFETY A/S,42330434,DK,HANS EGEDES VEJ 9 B TARUP,,nwsafety.as,
LOA LUA I/S,42324809,DK,C/O JOSEFINE ANDERSEN OG FREDERIK POULSEN NÃ˜RRE ALLÃ‰ 9 3. TH.,,,
LAVIS HOLDING APS,42333611,DK,MELLEMVEJ 13,,,
MOOD MINOR APS,42335622,DK,GODSBANEN 107 3. 3.,,moodminor.dk,
JENSEN SPORTSWEAR I/S,42349143,DK,C/O MATHIAS JENSEN & KRISTIAN JENSEN SMELLEAGERVEJ 15,,,
ROKKETAND APS,42358304,DK,VED SÃ˜NDERPORT 9 4. TH.,,rokketand.com,
TOYSPACE A/S,42360945,DK,C/O ECIT ACCOUNT A/S FRIIS HANSENS VEJ 5,,toyspace.dk,
ALAKU APS,42369934,DK,HIORT LORENZENS GADE 31 1. TH.,,,
DANSKE STUDENTERHUER A/S,42381365,DK,UDSIGTEN 20,,,
MUSEUM SELECTION LTD,37018678,DK,C/O QVALIA A/S HERSTEDÃ˜STERVEJ 27 A,,,
WATCHLIFE APS,42390771,DK,SIGRIDSVEJ 1,,,
HOUSE PAINTING SERVICE APS,42394440,DK,BADSTUESTRÃ†DE 8 A ST.,https://www.maler-teamet.dk/,,
PREPERD APS,42397830,DK,INDUSTRIVEJ 19,,,
BY LIL 2020 APS,42402133,DK,STENGADE 65 B 2. TH.,,,
TMS COMPANY APS,42404950,DK,C/O MIKKEL GUSTAV BAUMANN WILLEMOESGADE 14 ST. TV.,,,
1CLICKAWAAY APS,42411876,DK,C/O MALERMESTER JACKSON APS ELLEKÃ†R 3,,,
JWLRY APS,42413208,DK,HARALD JENSENS PLADS 9 3. TH.,,,
RISE APS,42418188,DK,HUMMELTOFTEVEJ 38,,,
BALL ORIGINAL APS,42439045,DK,DJALMA LUNDS GÃ…RD 3,http://www.balloriginal.com/,,
MILÃ˜K APS,42439762,DK,TRANEVÃ†NGET 42 ST. TV.,,,
NAEA APS,42442763,DK,VÃ†RKMESTERGADE 25 17. 4.,,,
LUXURY GROUP APS,42443980,DK,AGERVANG 10 2. TV.,,,
NOIR INFERIS I/S,42442534,DK,Ã†GIRSVEJ 35 3. TV.,,,
BASICXL APS,42467626,DK,MARIANE THOMSENS GADE 4 B 3.,,,
DEFENDO OPERATIONS APS,42472190,DK,KIRKEPLADSEN 4 ST.,,,
CRAFTDESIGN,42341762,DK,NORGESVEJ 3,,,
MAEMAE I/S,42477680,DK,FINLANDSVEJ 123 3. TH.,,,
FRUIT DISTRIBUTION AB,37719161,DK,HÃ˜JEVEJ 15,http://www.nordicfruit.dk/,,
FANZONE APS,42485837,DK,SOLHEGNET 20,,,
MOREMELLOW APS,42492833,DK,ENGVEJ 18,,,
ONEPD APS,42499544,DK,GRÃ˜NJORDSKOLLEGIET 6 1. 6206.,,,
MARWILL APS,42501441,DK,C/O MARY PEDERSEN GL LANDEVEJ 66 ST. 11. LINDVED,,,
SPONSORWORLD APS,42502103,DK,GAVNÃ˜VEJ 2 D TJÃ˜RRING,,shop.sponsorworld.dk,
JUNCOB APS,42512257,DK,C/O JACOB BILLESBÃ˜LLE HÃ˜RSHOLMSGADE 22 C 2. TV.,,,
DEMOLEY APS,42513571,DK,C/O HOLMGAARD SAXILDSALLE 5,,,
ECCO EUROPE AG,37719706,DK,C/O ECCO SKO A/S INDUSTRIVEJ 5,https://ie.ecco.com/en-IE?utm_source=google&utm_medium=organic-gmb&utm_campaign=1051217,,
SAMBACPH I/S,42520985,DK,C/O NANNA GABRIELSEN RISBYHOLMVEJ 19,,sambacph.dk,
LEGLOVE DANMARK APS,42523046,DK,GEFIONSVEJ 21,,leglove.dk,
SPLIID APS,42524794,DK,KIRKEVEJ 54 Ã˜RRIDSLEV,,byspliid.dk,
SHADES UNDERWEAR APS,42524956,DK,C/O MIE BUUS MÃ˜LLER FLÃ˜EVEJ 19 FLÃ˜E,,,
AISO OFFICIAL APS,42528730,DK,C/O AIDA ALMQUIST SOWE HALLANDSGADE 5 2. TV.,,,
TEMPO PADEL APS,42534277,DK,SJÃ†LLANDSGADE 42 1.,https://tempopadel.com/,,
AMOLIA APS,42544795,DK,AHLGADE 4 B 3. TH.,,amolia.dk,
CROCKETT & JONES LTD,37719730,DK,C/O QVALIA A/S HERSTEDÃ˜STERVEJ 27 A,,,
GOGSIG APS,42552194,DK,RICHARD MORTENSENS VEJ 60 E ST. TV.,,gogsig.dk,
ALBERTINE APS,42552305,DK,SCHÃ˜DTSMINDEVEJ 21 SKOVBY,,albertineshop.com,
FREDENSBO APS,42555835,DK,SMIDSTRUPVEJ 71 NR SMIDSTRUP,,stjerneboern.dk,
SNEAKS2PEAK APS,42566551,DK,MAGLEBJERGVEJ 6,,,
LITTLE NOAH I/S,42576514,DK,BRAGESVEJ 3,,,
LIBERTIE APS,42597953,DK,FÃ…BORGGADE 7 ST. TH.,,libertie.dk,
BUTÃ‰ APS,42600377,DK,MARIANE THOMSENS GADE 39 ST.,,,
STIGAARD ZINCK APS,42602647,DK,MÃ˜LLEPARKEN 61 KRAGELUND,,,
COMEBACK STREETWEAR APS,42613509,DK,ELKJÃ†RVEJ 2 P,http://www.comebackstreetwear.com/,comebackstreetwear.com,
ADDICTED2TRAILS APS,42615226,DK,C/O LOUISE F. SÃ˜RENSEN/MORTEN JUNKER TINGHOLM 46 GUDERUP,,,
THE MINI TEAM APS,42623954,DK,SUKKERVÃ†NGET 63,,,
Z-ELA APS,42644250,DK,KNUDMOSEPARKEN 47 LIND,,,
LOVE SHOT APS,42674842,DK,GAMMEL HÃ˜VELTEVEJ 2,,,
JAJKO APS,42679461,DK,MANBJERGVEJ 5 LÃ˜GTEN,,,
BOERN APS,42696706,DK,HYLDEVEJ 17,,,
STYLE GROUP APS,42696773,DK,OLDENVEJ 33 MUNKEGÃ…RDE,,,
ZILLOUET I/S,42704555,DK,HYLDEDALSVEJ 9,,,
FEMME FAÃ‡ON APS,42715360,DK,EGÃ… HAVVEJ 25 D,,,
ELITESUPERTRADING APS,42715344,DK,NYVANG 16,,onkeljohn.dk,
ONLINE TEXTILE SOLUTIONS A/S,42718092,DK,TULSTRUPVEJ 13,https://onlinetextilesolutions.dk/,onlinetextilesolutions.dk,
TRUE FRIEND APS,42719587,DK,SÃ˜NDERVANGSVEJ 20,,superbrand-jewelry.net,
RG INVEST I/S,42730475,DK,RÃ˜NNINGSMINDE 5,,,
FC FRIIS INVEST APS,42738484,DK,RUDBÃ†KSBANKE 31 A STRIB,,skowolter.dk,
STX RETAIL APS,42752924,DK,DYNAMOVEJ 11 C,,uspoloassn.dk,
HADASHI APS,42757144,DK,LYSKÃ†R 3 B 1.,,,
LUXSAFIRA APS,42768510,DK,C/O PETER NIELSEN GRANLYVÃ†NGET 5,,,
COLUMBUS WEAR APS,42781703,DK,KLAMSAGERVEJ 32 ST. 1.,,columbuswear.dk,
UNDER ARMOUR INC.,37721379,DK,C/O BEAR & WOLF ADV. P/S/SIMON TRACY Ã˜STERFÃ†LLED TORV 3,,,
MODANE APS,42790990,DK,DANNEVIRKEVEJ 3,,sweetdeal.dk,
NORDIC AIM APS,42792918,DK,FORTUNVEJ 69,,,
FLAPH APS,42834041,DK,POPPELVEJ 4,,flaph.dk,
LEMON COPENHAGEN I/S,42804282,DK,HJORTESPRINGPARKEN 31,,,
JOJO MAMAN BEBE LIMITED,37016853,DK,C/O FISCAL SOLUTIONS DENMARK APS KRÃ†NHAVS STI 3 KLITMÃ˜LLER,,,
BÃ˜RNESIKRING APS,42835455,DK,C/O JOHN SCHMIDT MARIANE THOMSENS GADE 2 F 5. 1.,,,
DESIGNETTE 2022 APS,42839116,DK,HALLDÃ“R LAXNESS VEJ 24 3. TH.,,,
THOR DEVELOPMENT GROUP APS,42842656,DK,STUDIESTRÃ†DE 26 2.,,thordevelopmentgroup.com,
NORSUMMIT APS,42849146,DK,KONGENS TVÃ†RVEJ 2,,,
RASK STUDIO APS,42852244,DK,ANKERSGADE 7 4. TH.,,,
ÃSTFRYD APS,42875635,DK,C/O THEODOR BÃ˜GE PEDERSEN ZINNSGADE 8 ST. TV.,,,
MINIMEIS AS,42867470,DK,C/O DANISH VAT REG. APS KRÃ†NHAVS STI 3,,,
SCARLET'S FLOWER APS,42887390,DK,FROSTRUPVEJ 3 SLÃ˜SSERUP,,,
LUNDÃ˜ INVEST APS,42895288,DK,PEBELVEJ 21 GLATTRUP,,,
SORT AARHUS APS,42895008,DK,HÃ˜JGAARDSVEJ 11,,,
WE DO BETTER APS,42900338,DK,POSTMESTERVEJ 1,,sweetdeal.dk,
DESIGN BY DEGN I/S,42901385,DK,C/O MARCUS LARSEN Ã˜STERGAARD LINDEVEJ 1,,,
DRATTIRE APS,42902284,DK,MILTONSVEJ 33,,,
OK SOURCING & ECOMMERCE APS,42905585,DK,HVEENSGADE 1 1.,,,
GLOBAL WEAR APS,42912824,DK,C/O ELISABET STAMM THORVALDSENSVEJ 11 2. TV.,,,
GUNMA APS,42917885,DK,GODTHÃ…BSVEJ 87 4. TH.,,gunma.dk,
BABYENGROS APS,42924423,DK,BLOMSTERMARKEN 63 SNEJBJERG,,babyengros.dk,
PLEASANT APS,42943274,DK,VESTERHAVSGADE 15 VORUPÃ˜R,,bisbase.com,
APLO APS,42945307,DK,C/O FREDERIC SMITH Ã˜STERBROGADE 117 2. 226.,,,
LITTLE AARHOUSE APS,42948470,DK,VENUSVEJ 8 SÃ˜FTEN,,littleaarhouse.dk,
IBEX GYMWEAR I/S,42930261,DK,BORGMESTER JENSENS ALLÃ‰ 9 1. TV.,,,
GAIA I/S,42960365,DK,C/O HARALD LANG LEDAGER HOLMENEVEJ 26,,,
AU LAMA APS,42969990,DK,FIREHUSEVEJ 8 A,,,
SOLESOLE APS,42975389,DK,C/O THEA BECH THOMSEN STEFANSGADE 10 2. TH.,,,
PP PROFIL APS,42976148,DK,ALLEHELGENSGADE 3,,,
BENNICHI APS,42972940,DK,MOLTKESVEJ 8 1. TV.,,posterbandit.dk,
ERFURT APS,42981257,DK,UHREVEJ 17,http://www.erfurtluxury.com/,,
RETHINKIT STUDIOS APS,42984825,DK,GRUSBAKKEN 12,,rethinkit-studios.com,
CONCORD ENTERPRISE APS,42988979,DK,C/O MD SHOAIB HASAN TÃ…RNVEJ 211 2.,,,
CAEMI APS,42995304,DK,NORGESGADE 26 4. TV.,,,
STREETER APS,42995622,DK,C/O THOR GAARDE Ã˜STPARKEN 18 FRAUGDE,,,
DESIGNBYGRUNDAHL APS,42996041,DK,ROSENBAKKEN 26,,,
TECHSTYLE FASHION GROUP LTD,37722383,DK,C/O MAZARS ERHVERVSSERVICE APS MIDTERMOLEN 1 2. TV.,,,
NORWEGIAN RAIN AS,37722626,DK,CHRISTIAN XS VEJ 22,,,
SOLBAEK I/S,42996904,DK,C/O MIKKEL LYBÃ†K CHRISTENSEN POUL PAGHS GADE 21,,,
ASKEGREN APS,43004743,DK,SKOLEVEJ 7,,,
DESIGNTORVET APS,43005359,DK,KIRKEVANGEN 4 VRINNERS,,,
MBANG APS,43019651,DK,THOMAS KOPPELS GADE 44 2. TH.,,,
TRENDYSHOP APS,43027476,DK,NYBOVEJ 3,,,
MERCH TRAFFIC LIMITED,43014285,DK,C/O DANISH VAT REG KRÃ†NHAVS STI 3,https://merchcity.com/,,
KIDZMIX I/S,43039865,DK,C/O S KRISTENSEN S SCHÃ˜N KÃ†RVEJ 5 A,,,
NATURBARN DK APS,43042327,DK,LAURITSHÃ˜J 272,,,
2SAAL APS,43046896,DK,C/O HENRIK HVIID ELME ALLE 14 VESTER NEBEL,,,
MILE SPORTS APS,43050621,DK,NÃ˜RRE ALLÃ‰ 89 1. TV.,,,
NORDIC C APS,43063588,DK,STÃ˜BERIGADE 8 3. 8.,,,
SCHULTZ DESIGN APS,43062611,DK,ELMEGÃ…RDSVEJ 12 A ST.,,,
COÂ´COUTURE A/S,43065742,DK,BÃ˜GESKOVVEJ 2 MUNKEGÃ…RDE,http://www.cocouture.dk/,,
SILK FEELINGS APS,43065467,DK,BLEGDAMSVEJ 29 A 7. 805.,,,
ENDDLESS APS,43065963,DK,I.P. JACOBSENS VEJ 42,,,
BABYBLID APS,43073966,DK,BAKKEAGER 15,,,
MAMAS ARK APS,43074997,DK,BJÃ˜RNBAKSVEJ 4,,,
KLERE APS,43074148,DK,MANBJERGVEJ 94 LÃ˜GTEN,,,
TRACKSUIT APS,43088203,DK,DILDHAVEN 35 2. TV.,,,
HOLBÃ†K WORKWEAR APS,43110969,DK,SPÃ…NNEBÃ†K 24,http://www.he-firmatoj.dk/,,
LIGHT GREEN STUDIO APS,43114034,DK,C/O CHRISTIAN THUE JENSEN MERIANVEJ 20,http://lightgreenstudio.com/,,
MICOTO APS,43122266,DK,C/O DEICHMANN ADVOKATER ROSENSGADE 22 1.,,,
MAALOUF APS,43130021,DK,TÃ˜NDERGADE 13 5.,,,
STATE OF WOW DANMARK APS,43134639,DK,FILMBYEN 16,,,
WOW INNOVATION APS,43134795,DK,FILMBYEN 16,,,
FLOUZE APS,43138650,DK,PALÃ†GADE 3 3.,,,
SLOWMADE APS,43139355,DK,TUBORGVEJ 48 2. TH.,,,
ROUGH FASHION APS,43138774,DK,BJERGEGADE 7 A,http://roughsweet.dk/,,
HENDRIX NORDIC APS,43141996,DK,C/O AARHUS ADMINISTRATIONSBUREAU APS SLETVEJ 2 D,,,
JBR RETAIL SKAGEN APS,43147641,DK,SCT. LAURENTII VEJ 42,,,
ETERNA MODE GMBH,37723401,DK,C/O RSM DANMARK VED VESTERPORT 6 5.,,,
BUTIKEN APS,43163167,DK,C/O TORBEN BLOCH PEDERSEN SÃ˜NDERBORGVEJ 3 C,,,
LUNDSGAARD & HELBIG I/S,43162489,DK,C/O STINE LUNDSGAARD SÃ˜RENSEN GÃ˜TEBORG ALLÃ‰ 7 L 5. TH.,,,
LIONNWEAR APS,43175181,DK,HÃ…NDVÃ†RKERVEJ 11,,,
LE NORA APS,43176188,DK,WILLEMOESGADE 23 ST. MF.,,,
KOS I/S,43182080,DK,VALNÃ˜DVEJ 3,,,
DROPSNEAKERS APS,43197967,DK,GRÃ˜NNINGEN 13,,,
LILLE VERDEN I/S,43206931,DK,BÃ˜GBALLEVEJ 39,,,
DER VI BOR APS,43208462,DK,GRANTOFTEVEJ 3 A,,,
AG PARTNER SERVICE APS,43210599,DK,BRÃ˜NDBYVESTERVEJ 62 B 1. 4.,,,
MALAIKA NEW YORK APS,43216074,DK,RUGMARKEN 54 NR BJERT,,,
SWOP APS,43216007,DK,SMEDEVEJ 1 REGSTRUP,,,
SCANDINAVIAN LINE I/S,43212788,DK,C/O DEIVIDAS RAUBA SDR. BOULEVARD 104 1. 1.,,,
BILLEDEVEDHÃ†NG.DK APS,43224077,DK,VIGERSLEV ALLE 380 C ST. TH.,,,
ACCADEMIA DEL TEMPO APS,43223577,DK,C/O LEONARDO PICCHI STORMGADE 9 6. 2.,,,
PAPIJAMAS APS,43231995,DK,WARMINGSGADE 1 P 2.,,,
TURMAN & THORN APS,43231758,DK,NORDKROG 22 1.,,,
MARC O'POLO DANMARK APS,43238957,DK,C/O NJORD LAW FIRM PILESTRÃ†DE 58,https://www.marc-o-polo.com/en-ie/women,,
NORDIC LIFESTYLE COMPANY APS,43240226,DK,BLÃ…VANDVEJ 22,,,
PLEASANT COPENHAGEN APS,43248340,DK,STEFANSGADE 12 KL. TV.,,,
OWK EYEWEAR I/S,43223585,DK,RAAGAARDS ALLE 4,,,
LIVA LARSEN APS,43252232,DK,WILLY BRANDTS VEJ 19 4. TV.,,,
HOUSE OF PRODUCTS APS,43262742,DK,MARIELUNDVEJ 30 2.,,,
VIKARVALGET APS,43266136,DK,SMEDEGADE 7 A ST. TH.,,,
A&A ACCESSORIES APS,43266888,DK,BAG ELEFANTERNE 17 1. TV.,,,
LE CLOSET APS,43269003,DK,SKOVRIDERGÃ…RDSVEJ 50,,,
OPAL OCEAN APS,43278797,DK,FARVERLÃ˜KKE 65,,,
KB SUPPLY APS,43278177,DK,ESROMGADE 15 2. 1208.,,,
NU-MODEST APS,43281852,DK,FRANK RYGÃ…RDS VEJ 12 2. TV.,,,
HUKKO APS,43291386,DK,FORTGÃ…RD ALLE 52,,,
LAVISH APS,43292579,DK,VIGERSLEV VÃ†NGE 2 1. MF.,,,
MATCH IT ALL APS,43301365,DK,LANGGADE 11 TRANEBJERG,,,
AGENTS CPH APS,43308831,DK,OLDERMANDSVEJ 8,,,
MC CUSTOMS APS,43315390,DK,SKOVVEJ 18 A 2. TH.,,,
NORDKING APS,43318063,DK,C/O AMIR LATIF CARL BLOCHS VEJ 129,,,
HUMMEL CENOZOIC APS,43317032,DK,C/O HUMMEL A/S BALTICAGADE 20,,,
18ACES APS,43322605,DK,DRONNINGENS TVÃ†RGADE 48 4. 2.,,,
PHILOSOPHIA STUDIO APS,43332643,DK,C/O SOFIA NIELSEN THORVALDSENSGADE 1 3. TV.,,,
DA SPORTS APS,43333933,DK,MAGLEGÃ…RDS ALLE 65 2. C.,,,
Z SIMIKKA APS,43333267,DK,GÃ˜GEVEJS TVÃ†RVEJ 2,,,
CIBERIA APS,43334190,DK,AMALIEGADE 35 1.,,,
REIGN OF GAIA APS,43333496,DK,C/O FREJA MENGEL VIBORGGADE 15 1. TV.,,,
NORDIC APPAREL GROUP APS,43335073,DK,LYNGBY HOVEDGADE 66 B ST.,http://nordicsportswear.dk/,,
MEMERY APS,43341669,DK,KLOSTERGADE 58,,,
BY MIKNA APS,43342495,DK,SAVSKÃ†RERIVEJ 2,,,
WOOLWEAR APS,43345648,DK,C/O BO AAGAARD MADSEN FREDERIKSGADE 35 2. TV.,,,
VINTAGECREW APS,43353039,DK,SINDALSVEJ 41,,,
UHLSPORT SCANDINAVIA AB,43353403,DK,C/O DEINTERNATIONAL DENMARK APS KONGENS NYTORV 26 3.,,,
TOPBRANDS APS,43361910,DK,SKOVVEJ 14,,,
PURE BRANDS APS,43369121,DK,SOLBAKKEN 5 HAMMELEV,,,
HBR VISION APS,43387197,DK,HASLEVGADE 45,,,
LVRP TRADING APS,43388576,DK,TIETGENSGADE 64 4. TV.,,,
CARE4WORKWEAR I/S,43388886,DK,PRODUKTVEJ 11,,,
NORDIC FASHION STORES APS,43398962,DK,BADSTUEGADE 14,http://www.nordicfashionoutlet.dk/,,
LUXBABY.DK APS,43409298,DK,BAKKEKAMMEN 54,,,
CA-WES APS,43412876,DK,Ã˜STERPARKEN 11,,,
SJS GROUP LLC,43394045,DK,C/O DANISH VAT REG KRÃ†NHAVS STI 3,,,
JWLY APS,43419285,DK,MARTINSVEJ 3,,,
URBAN LEGEND COPENHAGEN APS,43423967,DK,C/O STINE HEJNDORF CARLSEN SIGYNSGADE 66 ST. TH.,,,
BY MINELLA APS,43425617,DK,FREDSHÃ˜J MARK 5,,byminella.dk,
CONTACT CLOTHING APS,43438948,DK,NÃ˜RREBROGADE 110 3. TV.,,,
NUSILLA APS,43443143,DK,KIRKE VÃ†RLÃ˜SEVEJ 34,,,
KIRKBYKIRK APS,43444824,DK,MÃ˜LLE ALLE 4,,,
STILKOMPAGNIET APS,43451685,DK,LINDEBJERGVEJ 10 LINDEBJERG,,,
DANMARKSBUKSERNE I/S,43456784,DK,C/O THOR SKOV MADSEN Ã˜. SKIBELUNDVEJ 52,,,
SKJELLAND TRADE AB,37725323,DK,C/O TIMEVAT A/S HÃ˜JE TAASTRUP BOULEVARD 52 HÃ˜JE TAASTRUP,,,
CUSTOM PAIR APS,43462822,DK,DORTHEAVEJ 3 2. 95.,,,
REBJOORN APS,43463632,DK,MÃ˜LLEHAVEN 12 A,,,
FEELGOOD HUB APS,43477021,DK,ROSENÃ˜RNS ALLE 31 2.,,,
GSD FOR BRANDS APS,43489976,DK,BAGGESKÃ†RVEJ 23 ST.,,,
RUNGE LAB APS,43497294,DK,STEJLGÃ…RDSPARKEN 40,,,
ORGANIC STATEMENT APS,43497634,DK,TISTRUPVEJ 12,,,
DELTA GALIL BRANDS INTERNATIONAL GMBH,37725579,DK,C/O GRANT THORNTON ATT DENNEIS J. LARSEN STOCKHOLMSGADE 45,,,
PARDUS GLOBAL APS,43508636,DK,VIGERSLEVVEJ 24 2. TH.,,,
VASS EUROPE APS,43513931,DK,FREDERICIAGADE 15 B ST. TH.,,,
ZWISH APS,43514245,DK,ARENDALSGADE 8 ST. TV.,,zwishbasketball.com,
